id,nombre
1,RESISTENCIA
2,BARRANQUERAS
3,PUERTO VILELAS
4,FONTANA
5,BASAIL
6,COLONIA BENITEZ
7,MARGARITA BELEN
8,PUERTO TIROL
9,COLONIA POPULAR
10,LAGUNA BLANCA
11,LAPACHITO
12,MAKALLE
13,LA VERDE
14,LA ESCONDIDA
15,COLONIA ELISA
16,CAPITAN SOLARI
17,COLONIAS UNIDAS
18,LAS GARCITAS
19,PCIA. DE LA PLAZA
20,ISLA DEL CERRITO
21,LAS PALMAS
22,LA LEONESA
23,GENERAL VEDIA
24,PUERTO BERMEJO
25,LA EDUVIGIS
26,PAMPA ALMIRON
27,G. J. DE SAN MARTIN
28,PRESIDENCIA ROCA
29,PAMPA DEL INDIO
30,LAGUNA LIMPIA
31,CIERVO PETISO
32,COTE LAI
33,CHARADAI
34,VILLA BERTHET
35,SAMUHU
36,ENRIQUE URIEN
37,VILLA ANGELA
38,CORONEL DU GRATY
39,SAN BERNARDO
40,LA CLOTILDE
41,LA TIGRA
42,PCIA. ROQUE S.PEÑA
43,QUITILIPI
44,MACHAGAI
45,TRES ISLETAS
46,NAPENAY
47,AVIA TERAI
48,CAMPO LARGO
49,CORZUELA
50,LAS BREÑAS
51,CHARATA
52,GENERAL PINEDO
53,GENERAL CAPDEVILA
54,GANCEDO
55,HERMOSO CAMPO
56,SANTA SYLVINA
57,CONCEP.DEL BERMEJO
58,PAMPA DEL INFIERNO
59,LOS FRENTONES
60,TACO POZO
61,EL SAUZALITO
62,MISION NUEVA POMPEYA
63,FUERTE ESPERANZA
64,JUAN JOSE CASTELLI
65,CHOROTIS
66,PUERTO EVA PERON
67,MIRAFLORES
68,VILLA RIO BERMEJITO
69,EL ESPINILLO
